"Job","Location","Salary","Status","Experience","Perusahaan"
"Data Engineer","Surabaya","17077000","Full-Time","2","Sale Stock"
"Data Engineer","Surabaya","5934000","Full-Time","1","PT Lautan Natural"
"Data Engineer","Surabaya","4500000","Full-Time","1","Freelancer"
"Data Engineer","Surabaya","4500000","Full-Time","1","HM Sampoerna"
"Data Engineer","Surabaya","10256000","Full-Time","2","Moka"
"Data Engineer","Surabaya","4542000","Full-Time","1","McEasy"
"Data Engineer","Surabaya","3629000","Full-Time","1","Wavegame"
"Data Engineer","Jakarta","15201000","Full-Time","2","Gojek"
"Data Engineer","Jakarta","17271000","Full-Time","2","Bukalapak"
"Data Engineer","Jakarta","27571000","Full-Time","2","Traveloka"
"Data Engineer","Jakarta","10420000","Full-Time","2","Tokopedia"
"Data Engineer","Jakarta","5900000","Full-Time","1","Agit"
"Data Engineer","Jakarta","14000000","Full-Time","2","FinAccel"
"Data Engineer","Jakarta","13000000","Full-Time","2","Ovo"
"Data Engineer","Jakarta","10428000","Full-Time","2","Kompas Gramedia"
"Data Engineer","Jakarta","14000000","Full-Time","2","Vidio"
"Data Engineer","Jakarta","14600000","Full-Time","2","Bank OCBC NISP"
"","","","","",""
"","","","","",""
"","","","","",""
